species,subspecies,date_collected,bird_id,lon_dd,lat_dd,location,source,inrange,dist_km,sex,type,unit,mean_l,mean_r,sd_l,sd_r,fa_left_right,fa_ratio,fa_abs_mm,decade,biome,geometry,file_name,FC_buffer,FC_percentage.value,to_remove,FC_proportion,log_dist
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,1000,69.17120734155434,0,0.6917120734155433,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,1100,69.5260663507109,0,0.695260663507109,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,1200,70.42786069651741,0,0.7042786069651741,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,1300,72.18543046357615,0,0.7218543046357615,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,1400,73.99883075124232,0,0.7399883075124233,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,2012,94589,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,t,mm,23.116666666666667,24.033333333333335,0.21079215671683185,0.09451631252505216,-0.916666666666668,0.9618585298196948,0.916666666666668,2005,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-2005.tif,1500,74.14012738853502,0,0.7414012738853502,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,100,51.42857142857142,0,0.5142857142857142,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,200,65.94202898550724,0,0.6594202898550724,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,300,66.34920634920634,0,0.6634920634920634,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,400,58.67620751341681,0,0.5867620751341681,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,500,53.44036697247707,0,0.5344036697247707,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,600,55.21081941129673,0,0.5521081941129673,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,700,60.35087719298245,0,0.6035087719298246,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,800,63.668903803132,0,0.6366890380313199,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,900,66.54854712969525,0,0.6654854712969525,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,1000,68.94178376828219,0,0.6894178376828219,5.989925959222873
Celeus_flavescens,Celeus flavescens intercedens,1996,74222,-48.5037277777778,-13.9151722222222,"Campinaçu, GO, Brasil",MZUSP,TRUE,399.3850380537706,female,w,mm,137.74666666666667,137.52666666666667,0.3431229128655449,0.31817186131606945,0.2199999999999989,1.001599689757138,0.2199999999999989,1995,CERRADO,"c(-48.5037277777778, -13.9151722222222)",COLECAO_5_CERRADO-1995.tif,1100,69.5260663507109,0,0.695260663507109,5.989925959222873
