species,subspecies,date_collected,bird_id,lon_dd,lat_dd,location,source,inrange,distance_sgn,dist_km,mean_fgb,n_bars,decade,biome,geometry,file_name,FC_buffer,FC_percentage.value,std_fgb,FC_proportion,log_dist
Automolus_leucophthalmus,Automolus_leucophthalmus_sulphuracens,2010,91247,-49.8001111111111,-28.7053333333333,"Morro Grande, Nova Roma, Pousada Rancho Fundo, SC, Brasil",MZUSP,TRUE,438855.625950289,438.85562595028904,147.22215042115815,7,2005,MATAATLANTICA,"c(-49.8001111111111, -28.7053333333333)",COLECAO_5_MATAATLANTICA-2005.tif,900,96.1904761904762,0.64452123729372,0.961904761904762,6.084170488712794
Automolus_leucophthalmus,Automolus_leucophthalmus_sulphuracens,2010,91247,-49.8001111111111,-28.7053333333333,"Morro Grande, Nova Roma, Pousada Rancho Fundo, SC, Brasil",MZUSP,TRUE,438855.625950289,438.85562595028904,147.22215042115815,7,2005,MATAATLANTICA,"c(-49.8001111111111, -28.7053333333333)",COLECAO_5_MATAATLANTICA-2005.tif,1000,96.01033295063148,0.64452123729372,0.9601033295063148,6.084170488712794
Automolus_leucophthalmus,Automolus_leucophthalmus_sulphuracens,2010,91247,-49.8001111111111,-28.7053333333333,"Morro Grande, Nova Roma, Pousada Rancho Fundo, SC, Brasil",MZUSP,TRUE,438855.625950289,438.85562595028904,147.22215042115815,7,2005,MATAATLANTICA,"c(-49.8001111111111, -28.7053333333333)",COLECAO_5_MATAATLANTICA-2005.tif,1100,96.44970414201184,0.64452123729372,0.9644970414201184,6.084170488712794
Automolus_leucophthalmus,Automolus_leucophthalmus_sulphuracens,2010,91247,-49.8001111111111,-28.7053333333333,"Morro Grande, Nova Roma, Pousada Rancho Fundo, SC, Brasil",MZUSP,TRUE,438855.625950289,438.85562595028904,147.22215042115815,7,2005,MATAATLANTICA,"c(-49.8001111111111, -28.7053333333333)",COLECAO_5_MATAATLANTICA-2005.tif,1200,96.677939128705,0.64452123729372,0.96677939128705,6.084170488712794
Automolus_leucophthalmus,Automolus_leucophthalmus_sulphuracens,2010,91247,-49.8001111111111,-28.7053333333333,"Morro Grande, Nova Roma, Pousada Rancho Fundo, SC, Brasil",MZUSP,TRUE,438855.625950289,438.85562595028904,147.22215042115815,7,2005,MATAATLANTICA,"c(-49.8001111111111, -28.7053333333333)",COLECAO_5_MATAATLANTICA-2005.tif,1300,96.96301323379708,0.64452123729372,0.9696301323379708,6.084170488712794
Automolus_leucophthalmus,Automolus_leucophthalmus_sulphuracens,2010,91247,-49.8001111111111,-28.7053333333333,"Morro Grande, Nova Roma, Pousada Rancho Fundo, SC, Brasil",MZUSP,TRUE,438855.625950289,438.85562595028904,147.22215042115815,7,2005,MATAATLANTICA,"c(-49.8001111111111, -28.7053333333333)",COLECAO_5_MATAATLANTICA-2005.tif,1400,97.38227551915764,0.64452123729372,0.9738227551915765,6.084170488712794
Automolus_leucophthalmus,Automolus_leucophthalmus_sulphuracens,2010,91247,-49.8001111111111,-28.7053333333333,"Morro Grande, Nova Roma, Pousada Rancho Fundo, SC, Brasil",MZUSP,TRUE,438855.625950289,438.85562595028904,147.22215042115815,7,2005,MATAATLANTICA,"c(-49.8001111111111, -28.7053333333333)",COLECAO_5_MATAATLANTICA-2005.tif,1500,97.28835136855508,0.64452123729372,0.9728835136855508,6.084170488712794
Automolus_leucophthalmus,Automolus_leucophthalmus_sulphuracens,2010,91248,-48.2311111111111,-25.2033611111111,"Guaraqueçaba, Utinga, PR, Brasil",MZUSP,TRUE,737778.5959230099,737.7785959230099,167.64310720151806,6,2005,MATAATLANTICA,"c(-48.2311111111111, -25.2033611111111)",COLECAO_5_MATAATLANTICA-2005.tif,100,100,1.29476162808783,1,6.603643774065436
Automolus_leucophthalmus,Automolus_leucophthalmus_sulphuracens,2010,91248,-48.2311111111111,-25.2033611111111,"Guaraqueçaba, Utinga, PR, Brasil",MZUSP,TRUE,737778.5959230099,737.7785959230099,167.64310720151806,6,2005,MATAATLANTICA,"c(-48.2311111111111, -25.2033611111111)",COLECAO_5_MATAATLANTICA-2005.tif,200,100,1.29476162808783,1,6.603643774065436
Automolus_leucophthalmus,Automolus_leucophthalmus_sulphuracens,2010,91248,-48.2311111111111,-25.2033611111111,"Guaraqueçaba, Utinga, PR, Brasil",MZUSP,TRUE,737778.5959230099,737.7785959230099,167.64310720151806,6,2005,MATAATLANTICA,"c(-48.2311111111111, -25.2033611111111)",COLECAO_5_MATAATLANTICA-2005.tif,300,100,1.29476162808783,1,6.603643774065436
